tool_link,tool_link_host,tool_link_path,stars_count,forks_count,watchers_count,releases_count,size_KB,commit_total_number,last_commit_date,first_commit_date,maintenance_period_days,commit_number_2010_2011,commit_number_2011_2012,commit_number_2012_2013,commit_number_2013_2014,commit_number_2014_2015,commit_number_2015_2016,commit_number_2016_2017,commit_number_2017_2018,commit_number_2018_2019,issues_all_count,issues_open_count,issues_closed_count,pr_all_count,pr_open_count,pr_closed_count,languages,requirements_txt
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,2361,580,2361,37,24088,8247,2019-10-07T16:31:26,2013-11-06T02:07:23,2161,0,0,0,35,848,1081,1517,1369,1618,374,58,316,55,5,50,"{'Python': 2375021, 'JavaScript': 1914134, 'HTML': 374360, 'CSS': 124886, 'Java': 62338, 'Shell': 21270, 'Makefile': 7610, 'Batchfile': 7453, 'Nix': 1351, 'Dockerfile': 652, 'Mako': 494}","websocket-client>=0.54.0
autobahn>=17.10.1
colorama>=0.3.9
deprecation>=1.0.1
flask>=1.0
IPy>=0.83
mockito>=1.0.12
pgcli>=1.8.2
requests>=2.18.4
tornado==4.5.1
tqdm>=4.15.0
whoosh>=2.7.4
cairocffi==0.9.0
pycairo==1.18.1
PyGObject==3.32.1
lxml==4.3.3
html2text==2019.8.11"
https://github.com/00xc/h2buster,github.com,/00xc/h2buster,19,8,19,15,110,72,2019-10-10T18:41:08,2019-04-23T20:58:16,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{'Python': 13716},hyper==0.7.0
https://github.com/0blio/filegps,github.com,/0blio/filegps,46,15,46,2,153,70,2019-09-28T21:22:46,2019-06-10T07:38:56,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{'Python': 26303},
https://github.com/0v3rl0w/e013,github.com,/0v3rl0w/e013,14,5,14,0,38,25,2019-06-28T08:40:46,2017-11-24T11:48:03,580,0,0,0,0,0,0,0,4,8,2,0,2,1,0,1,"{'Visual Basic': 4760, 'PHP': 552}",
https://github.com/0vercl0k/rp,github.com,/0vercl0k/rp,812,166,812,2,11966,138,2017-04-16T18:50:43,2012-02-26T20:25:08,1875,0,0,121,4,0,11,0,2,0,24,2,22,11,1,10,"{'C++': 151686, 'C': 32852, 'Python': 5752, 'CMake': 2918}",
https://github.com/0verl0ad/Dumb0,github.com,/0verl0ad/Dumb0,23,8,23,0,21,21,2018-01-30T23:51:12,2014-02-10T05:11:27,1450,0,0,0,0,19,0,0,0,2,1,0,1,0,0,0,{'Python': 6034},
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,1039,173,1039,4,13445,148,2019-04-02T14:53:18,2018-03-08T04:04:36,390,0,0,0,0,0,0,0,0,143,37,4,33,23,2,21,"{'Python': 154103, 'Ruby': 12903}","pyperclip
netifaces
argcomplete"
https://github.com/0x09AL/DropboxC2C,github.com,/0x09AL/DropboxC2C,129,56,129,0,445,14,2018-10-20T19:15:06,2017-06-24T21:19:00,482,0,0,0,0,0,0,0,13,1,2,0,2,1,0,1,"{'Python': 13501, 'Batchfile': 196}","dropbox
pyinstaller
psutil"
https://github.com/0x09AL/raven,github.com,/0x09AL/raven,651,139,651,2,2495,32,2018-10-29T14:55:45,2017-08-22T15:41:04,432,0,0,0,0,0,0,0,10,22,27,2,25,3,0,3,{'Go': 21018},
https://github.com/0x36/VPNPivot,github.com,/0x36/VPNPivot,152,42,152,0,47,22,2016-07-21T08:49:26,2015-08-26T18:42:06,329,0,0,0,0,0,12,10,0,0,11,7,4,2,0,2,"{'Makefile': 47621, 'C': 30363, 'M4': 871, 'Shell': 51}",
https://github.com/0x3curity/PAVELOW,github.com,/0x3curity/PAVELOW,80,29,80,1,14,7,2018-05-08T05:51:54,2018-05-05T20:53:47,2,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,{'Shell': 27945},
https://github.com/0x3curity/Samurai,github.com,/0x3curity/Samurai,59,18,59,0,107,6,2018-05-10T03:34:02,2018-05-10T03:28:19,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,{'Shell': 4378},
https://github.com/0x3curity/TheDoc,github.com,/0x3curity/TheDoc,92,29,92,0,5,4,2018-05-12T21:17:38,2018-05-08T03:15:38,4,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,{'Shell': 10069},
https://github.com/0x4D31/burpa,github.com,/0x4D31/burpa,373,92,373,0,429,26,2017-08-15T09:57:50,2017-08-04T20:39:56,10,0,0,0,0,0,0,0,26,0,8,5,3,4,2,2,{'Python': 16704},"slackclient
requests>=2.4.2"
https://github.com/0x4D31/fatt,github.com,/0x4D31/fatt,363,45,363,0,246,37,2019-07-25T13:15:23,2019-03-19T01:25:29,128,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,{'Python': 42982},
https://github.com/0x4D31/honeybits,github.com,/0x4D31/honeybits,185,28,185,0,4462,20,2019-03-20T02:35:39,2017-03-05T08:19:16,744,0,0,0,0,0,0,0,17,1,4,2,2,1,0,1,{'Go': 16280},
https://github.com/0x4D31/salt-scanner,github.com,/0x4D31/salt-scanner,252,51,252,0,772,31,2017-10-18T03:07:57,2017-06-09T17:45:09,130,0,0,0,0,0,0,0,31,0,4,2,2,0,0,0,{'Python': 20798},"salt==2016.11.5
slackclient==1.0.5
jira
opsgenie-sdk"
https://github.com/0xInfection/XSRFProbe,github.com,/0xInfection/XSRFProbe,241,77,241,3,475,442,2019-10-14T06:10:42,2018-08-21T05:33:43,419,0,0,0,0,0,0,0,0,375,32,0,32,19,0,19,"{'Python': 140009, 'HTML': 2714}","requests
bs4
request
stringdist
tld
yattag"
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,1,1,1,0,428,103,2017-03-07T23:55:48,2015-10-02T12:10:43,522,0,0,0,0,0,29,44,30,0,0,0,0,0,0,0,"{'Vim script': 216181, 'Prolog': 65489, 'Python': 7955, 'Shell': 5586, 'Perl': 1545, 'CoffeeScript': 1402, 'Makefile': 554, 'GCC Machine Description': 525, 'HTML': 134}",
https://github.com/0xPrateek/Stardox,github.com,/0xPrateek/Stardox,85,43,85,0,79,62,2019-09-20T16:42:05,2019-01-08T18:09:46,254,0,0,0,0,0,0,0,0,0,17,4,13,7,0,7,{'Python': 15409},"requests==2.20.0
beautifulsoup4==4.6.3
lxml==4.3.0"
https://github.com/0xR0/hediye,github.com,/0xR0/hediye,31,11,31,0,1329,9,2019-01-15T19:09:42,2019-01-06T20:05:43,8,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,{'Python': 4703},
https://github.com/0xR0/shellver,github.com,/0xR0/shellver,188,51,188,0,1578,16,2018-12-26T18:00:01,2018-11-19T18:38:03,36,0,0,0,0,0,0,0,0,16,2,2,0,2,2,0,{'Python': 27052},requests
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,611,253,611,0,601,40,2017-09-22T04:37:50,2016-08-28T06:27:06,389,0,0,0,0,0,0,38,2,0,28,18,10,1,1,0,"{'Python': 17360, 'JavaScript': 10808, 'CSS': 2879, 'HTML': 684, 'Shell': 126}","celery==3.1.23
Django==1.9
django-celery==3.1.17
django-cors-middleware==1.2.0
django-filter==0.13.0
djangorestframework==3.4.1
djangorestframework-word-filter==0.1.1
psycopg2==2.6.2
redis==2.10.5
requests==2.10.0"
https://github.com/0xd4d/dnSpy,github.com,/0xd4d/dnSpy,11969,1884,11969,1,32974,3808,2019-10-15T21:42:18,2016-04-25T05:06:45,1268,0,0,0,0,0,0,1335,1561,569,1279,108,1171,62,0,62,"{'C#': 19961444, 'Visual Basic': 43076, 'PowerShell': 2966, 'Batchfile': 673}",
https://github.com/0xprateek/stardox,github.com,/0xprateek/stardox,85,43,85,0,79,62,2019-09-20T16:42:05,2019-01-08T18:09:46,254,0,0,0,0,0,0,0,0,0,17,4,13,7,0,7,{'Python': 15409},"requests==2.20.0
beautifulsoup4==4.6.3
lxml==4.3.0"
https://github.com/0xsauby/yasuo,github.com,/0xsauby/yasuo,468,133,468,0,2291,121,2017-12-09T19:02:11,2014-09-25T06:20:08,1171,0,0,0,0,42,46,27,6,0,35,2,33,14,0,14,{'Ruby': 30728},
https://github.com/13o-bbr-bbq/machine_learning_security,github.com,/13o-bbr-bbq/machine_learning_security,1023,373,1023,0,53651,601,2019-10-04T03:16:23,2017-05-01T20:33:44,885,0,0,0,0,0,0,0,74,404,49,21,28,5,1,4,"{'Python': 253693, 'HTML': 128266, 'CSS': 582, 'JavaScript': 10}",
https://github.com/1N3/BlackWidow,github.com,/1N3/BlackWidow,527,172,527,2,187,33,2018-11-08T15:32:28,2018-01-06T18:57:00,305,0,0,0,0,0,0,0,0,33,20,1,19,5,0,5,"{'Python': 69744, 'Dockerfile': 371}","coloredlogs
beautifulsoup4
requests
lxml"
https://github.com/1N3/BruteX,github.com,/1N3/BruteX,672,270,672,3,156,86,2019-04-16T15:50:43,2015-06-01T22:26:17,1414,0,0,0,0,0,38,21,8,15,10,0,10,6,0,6,"{'Shell': 14551, 'Dockerfile': 572}",
https://github.com/1N3/Findsploit,github.com,/1N3/Findsploit,924,234,924,6,1493,72,2019-02-01T16:29:30,2015-03-16T16:16:43,1418,0,0,0,0,0,20,12,24,13,20,2,18,11,0,11,{'Shell': 8330},
https://github.com/1N3/HTTPoxyScan,github.com,/1N3/HTTPoxyScan,83,37,83,0,6,6,2017-08-09T15:11:25,2016-07-21T03:50:06,384,0,0,0,0,0,0,4,2,0,3,0,3,1,0,1,"{'Python': 4310, 'Shell': 55}",
https://github.com/1N3/IntruderPayloads,github.com,/1N3/IntruderPayloads,1889,735,1889,0,88422,31,2018-11-02T15:49:36,2015-10-29T14:57:06,1100,0,0,0,0,0,8,7,9,7,8,3,5,2,0,2,"{'BitBake': 23887, 'PHP': 4576, 'Shell': 530, 'HTML': 234}",
https://github.com/1N3/MassBleed,github.com,/1N3/MassBleed,166,92,166,0,529,18,2019-10-09T14:51:15,2015-11-15T21:37:24,1423,0,0,0,0,0,10,5,1,0,3,1,2,2,1,1,"{'Shell': 20991, 'Python': 4770, 'Perl': 3607, 'Dockerfile': 559}",
https://github.com/1N3/ReverseAPK,github.com,/1N3/ReverseAPK,308,92,308,0,27,23,2019-07-01T13:59:11,2017-07-15T02:46:06,716,0,0,0,0,0,0,0,19,2,6,0,6,3,0,3,{'Shell': 14410},
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,3004,944,3004,35,33212,368,2019-10-14T15:32:43,2015-09-06T15:45:45,1498,0,0,0,0,0,39,97,72,89,224,17,207,36,0,36,"{'Shell': 372509, 'PHP': 213996, 'Python': 48656, 'XSLT': 15475, 'JavaScript': 4798, 'HTML': 2330, 'Dockerfile': 1244}",
https://github.com/1N3/findsploit,github.com,/1N3/findsploit,924,234,924,6,1493,72,2019-02-01T16:29:30,2015-03-16T16:16:43,1418,0,0,0,0,0,20,12,24,13,20,2,18,11,0,11,{'Shell': 8330},
https://github.com/1aN0rmus/TekDefense,github.com,/1aN0rmus/TekDefense,75,24,75,0,82,66,2016-10-05T14:42:13,2012-10-21T04:33:58,1445,0,0,18,46,0,0,2,0,0,13,1,12,2,0,2,{'Python': 22078},
https://github.com/1aN0rmus/TekDefense-Automater,github.com,/1aN0rmus/TekDefense-Automater,393,95,393,0,306,88,2016-05-30T22:54:57,2013-11-12T03:25:40,930,0,0,0,23,29,31,5,0,0,47,25,22,22,10,12,{'Python': 126453},
https://github.com/1lastBr3ath/drmine,github.com,/1lastBr3ath/drmine,30,11,30,0,337,13,2018-08-29T09:54:50,2018-02-03T11:39:18,206,0,0,0,0,0,0,0,0,13,4,1,3,2,0,2,{'JavaScript': 5264},
https://github.com/1tayH/noisy,github.com,/1tayH/noisy,953,110,953,0,76,54,2018-09-08T16:10:57,2018-06-29T16:08:57,71,0,0,0,0,0,0,0,0,54,28,7,21,19,3,16,"{'Python': 9950, 'Dockerfile': 168}",requests>=2.9.1
https://github.com/360PegasusTeam/GhostTunnel,github.com,/360PegasusTeam/GhostTunnel,240,89,240,0,655,15,2019-03-06T04:26:03,2018-08-03T02:26:03,215,0,0,0,0,0,0,0,0,8,6,1,5,2,0,2,"{'C': 1039100, 'C++': 61114, 'Makefile': 35695}",
https://github.com/3XPL017/netpwn,github.com,/3XPL017/netpwn,119,35,119,0,246,179,2018-06-11T18:44:00,2017-11-22T01:03:15,201,0,0,0,0,0,0,0,35,144,1,0,1,1,0,1,"{'Python': 36784, 'Shell': 245}",
https://github.com/3gstudent/Javascript-Backdoor,github.com,/3gstudent/Javascript-Backdoor,188,107,188,0,17,36,2017-07-18T00:57:40,2016-01-04T01:48:14,560,0,0,0,0,0,0,34,2,0,3,0,3,1,0,1,{'PowerShell': 12393},
https://github.com/4n4nk3/TinkererShell,github.com,/4n4nk3/TinkererShell,39,8,39,0,106,41,2019-08-24T13:57:47,2019-02-24T19:19:07,180,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,{'Python': 50401},"Pillow
pyperclip
opencv-python
pyscreenshot
pycryptodome
pyxhook
tendo"
https://github.com/4n4nk3/Wordlister,github.com,/4n4nk3/Wordlister,27,3,27,0,51,31,2019-05-22T14:08:49,2019-05-12T12:21:53,10,0,0,0,0,0,0,0,0,0,9,0,9,8,0,8,{'Python': 6195},
https://github.com/4w4k3/BeeLogger,github.com,/4w4k3/BeeLogger,461,255,461,0,25040,70,2017-06-07T13:32:17,2017-02-17T15:34:40,109,0,0,0,0,0,0,0,70,0,82,43,39,6,4,2,"{'Python': 11994, 'R': 771, 'Shell': 270, 'Batchfile': 220}",
https://github.com/4w4k3/Insanity-Framework,github.com,/4w4k3/Insanity-Framework,170,97,170,0,44078,117,2017-05-15T12:46:26,2017-02-01T17:27:53,102,0,0,0,0,0,0,0,117,0,19,2,17,7,0,7,"{'Python': 44703, 'Shell': 832, 'R': 804}",pycrypto==2.6.1
https://github.com/4w4k3/Umbrella,github.com,/4w4k3/Umbrella,157,74,157,0,25027,18,2017-05-15T12:47:35,2017-03-04T13:14:56,71,0,0,0,0,0,0,0,18,0,13,8,5,0,0,0,"{'Python': 12660, 'R': 769, 'Shell': 263}",
https://github.com/504ensicsLabs/DAMM,github.com,/504ensicsLabs/DAMM,158,47,158,1,1307,32,2017-04-16T15:39:23,2014-09-16T17:32:05,942,0,0,0,0,27,3,0,2,0,3,0,3,2,0,2,{'Python': 12536768},
https://github.com/504ensicslabs/lime,github.com,/504ensicslabs/lime,851,193,851,8,1634,69,2019-10-19T17:03:46,2014-09-23T16:23:46,1852,0,0,0,0,12,6,16,16,13,62,9,53,16,1,15,"{'C': 26221, 'Makefile': 1759}",
