tool_link,tool_link_host,tool_link_path,language,language_size
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Java,62338
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Dockerfile,652
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,CSS,61950
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Shell,18637
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Batchfile,7453
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Makefile,7610
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,JavaScript,535258
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,HTML,319659
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Nix,1302
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Mako,494
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,Python,2134249
https://github.com/0v3rl0w/e013,github.com,/0v3rl0w/e013,Visual Basic,1040
https://github.com/0vercl0k/rp,github.com,/0vercl0k/rp,C++,151686
https://github.com/0vercl0k/rp,github.com,/0vercl0k/rp,C,32852
https://github.com/0vercl0k/rp,github.com,/0vercl0k/rp,CMake,2918
https://github.com/0vercl0k/rp,github.com,/0vercl0k/rp,Python,5752
https://github.com/0verl0ad/Dumb0,github.com,/0verl0ad/Dumb0,Python,6034
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,Ruby,12903
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,Python,154103
https://github.com/0x09AL/DropboxC2C,github.com,/0x09AL/DropboxC2C,Batchfile,196
https://github.com/0x09AL/DropboxC2C,github.com,/0x09AL/DropboxC2C,Python,13501
https://github.com/0x09AL/raven,github.com,/0x09AL/raven,Go,21018
https://github.com/0x36/VPNPivot,github.com,/0x36/VPNPivot,Shell,51
https://github.com/0x36/VPNPivot,github.com,/0x36/VPNPivot,C,30363
https://github.com/0x36/VPNPivot,github.com,/0x36/VPNPivot,Makefile,47621
https://github.com/0x36/VPNPivot,github.com,/0x36/VPNPivot,M4,871
https://github.com/0x3curity/PAVELOW,github.com,/0x3curity/PAVELOW,Shell,27945
https://github.com/0x3curity/Samurai,github.com,/0x3curity/Samurai,Shell,4378
https://github.com/0x3curity/TheDoc,github.com,/0x3curity/TheDoc,Shell,10069
https://github.com/0x4D31/burpa,github.com,/0x4D31/burpa,Python,16704
https://github.com/0x4D31/honeybits,github.com,/0x4D31/honeybits,Go,16280
https://github.com/0x4D31/salt-scanner,github.com,/0x4D31/salt-scanner,Python,20798
https://github.com/0xInfection/XSRFProbe,github.com,/0xInfection/XSRFProbe,HTML,2699
https://github.com/0xInfection/XSRFProbe,github.com,/0xInfection/XSRFProbe,Python,140187
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Shell,5586
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,CoffeeScript,1402
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,GCC Machine Description,525
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Makefile,554
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Prolog,65489
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Perl,1545
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,HTML,134
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Vim script,216181
https://github.com/0xM3R/dotfiles,github.com,/0xM3R/dotfiles,Python,7955
https://github.com/0xPrateek/Stardox,github.com,/0xPrateek/Stardox,Python,12786
https://github.com/0xR0/hediye,github.com,/0xR0/hediye,Python,4703
https://github.com/0xR0/shellver,github.com,/0xR0/shellver,Python,27052
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,CSS,2879
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,Shell,126
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,JavaScript,10808
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,HTML,684
https://github.com/0xbug/SQLiScanner,github.com,/0xbug/SQLiScanner,Python,17360
https://github.com/0xd4d/dnSpy,github.com,/0xd4d/dnSpy,C#,19436411
https://github.com/0xd4d/dnSpy,github.com,/0xd4d/dnSpy,Visual Basic,43076
https://github.com/0xsauby/yasuo,github.com,/0xsauby/yasuo,Ruby,30728
https://github.com/13o-bbr-bbq/machine_learning_security,github.com,/13o-bbr-bbq/machine_learning_security,CSS,582
https://github.com/13o-bbr-bbq/machine_learning_security,github.com,/13o-bbr-bbq/machine_learning_security,JavaScript,10
https://github.com/13o-bbr-bbq/machine_learning_security,github.com,/13o-bbr-bbq/machine_learning_security,HTML,5238
https://github.com/13o-bbr-bbq/machine_learning_security,github.com,/13o-bbr-bbq/machine_learning_security,Python,253851
https://github.com/1N3/BlackWidow,github.com,/1N3/BlackWidow,Dockerfile,371
https://github.com/1N3/BlackWidow,github.com,/1N3/BlackWidow,Python,69744
https://github.com/1N3/BruteX,github.com,/1N3/BruteX,Dockerfile,572
https://github.com/1N3/BruteX,github.com,/1N3/BruteX,Shell,14551
https://github.com/1N3/Findsploit,github.com,/1N3/Findsploit,Shell,8330
https://github.com/1N3/HTTPoxyScan,github.com,/1N3/HTTPoxyScan,Shell,55
https://github.com/1N3/HTTPoxyScan,github.com,/1N3/HTTPoxyScan,Python,4310
https://github.com/1N3/IntruderPayloads,github.com,/1N3/IntruderPayloads,Shell,530
https://github.com/1N3/IntruderPayloads,github.com,/1N3/IntruderPayloads,PHP,4576
https://github.com/1N3/IntruderPayloads,github.com,/1N3/IntruderPayloads,HTML,234
https://github.com/1N3/IntruderPayloads,github.com,/1N3/IntruderPayloads,BitBake,23887
https://github.com/1N3/MassBleed,github.com,/1N3/MassBleed,Shell,20991
https://github.com/1N3/MassBleed,github.com,/1N3/MassBleed,Perl,3607
https://github.com/1N3/MassBleed,github.com,/1N3/MassBleed,Python,4770
https://github.com/1N3/ReverseAPK,github.com,/1N3/ReverseAPK,Shell,14371
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,Dockerfile,1078
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,Shell,242636
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,PHP,213996
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,XSLT,15475
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,HTML,2330
https://github.com/1N3/Sn1per,github.com,/1N3/Sn1per,Python,29935
