tool_link,tool_link_host,tool_link_path,requirements_txt,requirements_txt_no_version
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,websocket-client>=0.54.0,websocket-client
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,autobahn>=17.10.1,autobahn
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,colorama>=0.3.9,colorama
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,deprecation>=1.0.1,deprecation
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,flask>=1.0,flask
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,IPy>=0.83,ipy
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,mockito>=1.0.12,mockito
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,pgcli>=1.8.2,pgcli
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,requests>=2.18.4,requests
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,tornado==4.5.1,tornado
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,tqdm>=4.15.0,tqdm
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,whoosh>=2.7.4,whoosh
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,cairocffi==0.9.0,cairocffi
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,pycairo==1.18.1,pycairo
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,PyGObject==3.32.1,pygobject
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,lxml==4.3.3,lxml
http://github.com/infobyte/faraday,github.com,/infobyte/faraday,html2text==2019.8.11,html2text
https://github.com/00xc/h2buster,github.com,/00xc/h2buster,hyper==0.7.0,hyper
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,pyperclip,pyperclip
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,netifaces,netifaces
https://github.com/0x00-0x00/ShellPop,github.com,/0x00-0x00/ShellPop,argcomplete,argcomplete
https://github.com/0x09AL/DropboxC2C,github.com,/0x09AL/DropboxC2C,dropbox,dropbox
https://github.com/0x09AL/DropboxC2C,github.com,/0x09AL/DropboxC2C,pyinstaller,pyinstaller
